,user,project,open_issues,closed_issues,forks
8,pytorch,pytorch,9555,19508,16693
16,TheAlgorithms,Python,78,1114,37995
7,ansible,ansible,664,30215,22603
9,pallets,flask,5,2408,15318
12,huggingface,transformers,410,9832,16686
10,521xueweihan,HelloGitHub,39,2293,8103
3,keras-team,keras,251,11253,19185
19,justjavac,free-programming-books-zh_CN,22,424,26622
17,tensorflow,tensorflow,2115,33773,87364
13,nvbn,thefuck,204,450,3282
1,azl397985856,leetcode,2,239,9185
18,django,django,169,16011,28077
0,donnemartin,system-design-primer,166,68,36214
14,practical-tutorials,project-based-learning,16,42,11517
2,home-assistant,core,1567,31400,20188
4,scikit-learn,scikit-learn,1540,8169,23568
5,apache,superset,1232,7343,9695
15,CyC2018,CS-Notes,115,438,49214
6,tiangolo,fastapi,1119,2028,4108
11,vinta,awesome-python,11,410,22037
